Rk,Tm,G,PF,TotTO,FL,TotPaYds,PaTD,Int,Pa1stD,PaYds/G,TotRuYds,RuYds/G,RuTD,Ru1stD,FirstbyPen,Tot1stD
1,Los Angeles Rams,16,478,21,14,3831,28,7,185,239.4375,1953,122.0625,17,97,29,311
2,New England Patriots,16,458,12,4,4418,32,8,232,276.125,1889,118.0625,16,107,50,389
3,Philadelphia Eagles,16,457,20,11,3737,38,9,193,233.5625,2115,132.1875,9,108,37,338
4,New Orleans Saints,16,448,18,10,4189,23,8,201,261.8125,2070,129.375,23,111,20,332
5,Jacksonville Jaguars,16,417,23,10,3593,21,13,193,224.5625,2262,141.375,18,101,38,332
6,Kansas City Chiefs,16,415,11,3,4104,26,8,198,256.5,1903,118.9375,12,95,29,322
7,Detroit Lions,16,410,22,11,4183,29,11,210,261.4375,1221,76.3125,10,58,28,296
8,Pittsburgh Steelers,16,406,20,5,4380,29,15,217,273.75,1667,104.1875,12,96,35,348
9,Baltimore Ravens,16,395,17,4,3030,20,13,168,189.375,1856,116,14,111,32,311
10,Minnesota Vikings,16,382,14,6,3753,25,8,196,234.5625,1957,122.3125,15,100,38,334
11,Seattle Seahawks,16,366,17,5,3657,34,12,183,228.5625,1629,101.8125,4,85,31,299
12,Carolina Panthers,16,363,22,6,3077,22,16,167,192.3125,2102,131.375,15,121,32,320
13,Los Angeles Chargers,16,355,15,4,4431,28,11,220,276.9375,1595,99.6875,10,84,33,337
14,Dallas Cowboys,16,354,22,9,3141,22,13,162,196.3125,2170,135.625,18,127,25,314
15,Atlanta Falcons,16,353,18,6,3990,21,12,200,249.375,1847,115.4375,12,101,29,330
16,Washington Redskins,16,342,27,14,3751,27,13,191,234.4375,1448,90.5,10,66,21,278
17,Houston Texans,16,338,28,11,3278,28,17,180,204.875,1842,115.125,8,86,47,313
18,Tampa Bay Buccaneers,16,335,27,13,4366,26,14,243,272.875,1448,90.5,8,76,33,352
19,Tennessee Titans,16,334,25,8,3191,14,17,157,199.4375,1833,114.5625,18,97,36,290
20,San Francisco 49ers,16,331,23,8,3925,15,15,206,245.3125,1662,103.875,15,88,27,321
21,Green Bay Packers,16,320,25,7,3167,25,18,176,197.9375,1724,107.75,13,99,32,307
22,Buffalo Bills,16,302,16,6,2825,16,10,149,176.5625,2017,126.0625,12,105,24,278
23,Oakland Raiders,16,301,28,14,3631,23,14,178,226.9375,1554,97.125,13,78,31,287
24,New York Jets,16,298,24,12,3182,19,12,157,198.875,1702,106.375,13,77,35,269
25,Arizona Cardinals,16,295,25,7,3640,21,18,200,227.5,1386,86.625,6,66,44,310
26,Cincinnati Bengals,16,290,23,11,3122,25,12,165,195.125,1366,85.375,6,72,30,267
27,Denver Broncos,16,289,34,12,3333,19,22,180,208.3125,1852,115.75,8,92,25,297
28,Miami Dolphins,16,281,29,8,3535,24,21,187,220.9375,1388,86.75,4,66,31,284
29,Chicago Bears,16,264,22,10,2811,13,12,144,175.6875,1788,111.75,13,92,30,266
30,Indianapolis Colts,16,263,15,6,2892,13,9,148,180.75,1661,103.8125,11,94,25,267
31,New York Giants,16,246,22,8,3479,20,14,178,217.4375,1549,96.8125,6,66,27,271
32,Cleveland Browns,16,234,41,13,3228,15,28,157,201.75,1714,107.125,11,97,36,290
33,League Total,0,11120,706,276,114870,741,430,5921,0,56170,0,380,2919,1020,9860
